path,type,runtime,pattern,pool_count,client_count,total_count,module_or_vertical,risk,notes
backend/routes/auth.js,route,A,pool.query,5,0,5,Core,S1,Login/auth - critical security
backend/routes/customerPortal.js,route,A,pool.query,1,0,1,Marketplace,S2,Customer portal payments
backend/routes/dashboardPrefs.js,route,A,pool.query,3,0,3,Manager,S3,Dashboard preferences
backend/routes/impuestos.js,route,A,pool.query,1,0,1,Manager,S3,Tax config
backend/routes/marketplace.js,route,A,pool.query,1,0,1,Marketplace,S2,Public marketplace
backend/routes/marketplaceAdmin.js,route,A,pool.query,1,0,1,Marketplace,S2,Marketplace admin
backend/routes/meRoutes.js,route,A,pool.query,1,0,1,Core,S2,User profile
backend/routes/subscriptions.js,route,A,pool.query,2,0,2,Core,S1,Billing subscriptions
backend/routes/tecnicos.js,route,A,pool.query,1,0,1,Manager,S2,Technicians
backend/routes/customerGoogleAuth.js,route,A,client.query,0,6,6,Core,S1,SAFE: uses getSystemDb().connect() - transactional
backend/routes/invitePublic.js,route,A,client.query,0,14,14,Core,S1,SAFE: uses getSystemDb().connect() - transactional
backend/routes/trabajadores.js,route,A,client.query,0,6,6,Manager,S2,SAFE: uses getTenantDb.tx() - transactional
backend/middleware/featureGate.js,middleware,A,pool.query,1,0,1,Core,S1,Feature gating
backend/middleware/rbac.js,middleware,A,pool.query,4,0,4,Core,S1,RBAC permission check
backend/middleware/subscriptionCheck.js,middleware,A,pool.query,1,0,1,Core,S1,Subscription validation
backend/services/auditService.js,service,A,pool.query,2,0,2,Core,S2,Audit logging
backend/services/customerPortalService.js,service,A,pool.query,3,0,3,Marketplace,S2,Customer portal payments
backend/services/googleAuthService.js,service,A,client.query,0,9,9,Core,S1,SAFE: uses getSystemDb().connect() - transactional
backend/services/makeEmailProvider.js,service,A,pool.query,1,0,1,Core,S3,Email provider
backend/services/marketplaceService.js,service,A,pool.query+pool.connect,2,22,24,Marketplace,S2,Marketplace bookings
backend/services/notificacionService.js,service,A,pool.query,6,0,6,Manager,S2,Notifications
backend/services/ordenPDFService.js,service,A,pool.query,4,0,4,Manager,S2,Order PDF generation
backend/services/unifiedNotificationService.js,service,A,pool.query,3,0,3,Manager,S2,Unified notifications
backend/services/ventaPDFService.js,service,A,pool.query,3,0,3,Manager,S2,Sale PDF generation
